mode,season,route_id,route_name,dir_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,parent_station,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,ObjectId
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Quincy Adams,place-qamnl,53,4932,48,1,103,98,817
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Quincy Center,place-qnctr,254,7413,48,5,154,201,818
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Savin Hill,place-shmnl,206,4996,48,4,104,660,819
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Shawmut,place-smmnl,36,5954,48,1,124,246,820
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,South Station,place-sstat,13391,16207,48,279,338,1474,821
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Wollaston,place-wlsta,842,6664,48,18,139,342,822
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_09,NIGHT,Alewife,place-alfcl,894,0,48,19,0,19,823
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_09,NIGHT,Andrew,place-andrw,1187,2109,48,25,44,410,824
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_09,NIGHT,Ashmont,place-asmnl,0,4622,48,0,96,0,825
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_09,NIGHT,Braintree,place-brntn,0,2551,48,0,53,0,826
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_09,NIGHT,Broadway,place-brdwy,566,1346,48,12,28,368,827
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_09,NIGHT,Central,place-cntsq,2113,951,48,44,20,176,828
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_09,NIGHT,Charles/MGH,place-chmnl,745,679,48,16,14,213,829
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_09,NIGHT,Davis,place-davis,844,69,48,18,1,36,830
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_09,NIGHT,Downtown Crossing,place-dwnxg,4568,2650,48,95,55,338,831
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_09,NIGHT,Fields Corner,place-fldcr,147,5278,48,3,110,135,832
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_09,NIGHT,Harvard,place-harsq,3741,377,48,78,8,133,833
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_09,NIGHT,JFK/UMass,place-jfk,1086,3646,48,23,76,398,834
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_09,NIGHT,Kendall/MIT,place-knncl,1490,748,48,31,16,209,835
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_09,NIGHT,North Quincy,place-nqncy,269,2278,48,6,47,173,836
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_09,NIGHT,Park Street,place-pktrm,6437,3672,48,134,76,278,837
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_09,NIGHT,Porter,place-portr,989,142,48,21,3,58,838
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_09,NIGHT,Quincy Adams,place-qamnl,19,2173,48,0,45,48,839
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_09,NIGHT,Quincy Center,place-qnctr,88,2911,48,2,61,87,840
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_09,NIGHT,Savin Hill,place-shmnl,107,1430,48,2,30,206,841
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_09,NIGHT,Shawmut,place-smmnl,11,2271,48,0,47,91,842
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_09,NIGHT,South Station,place-sstat,3482,3659,48,73,76,354,843
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_01,Weekday,time_period_09,NIGHT,Wollaston,place-wlsta,240,2371,48,5,49,138,844
Heavy Rail,Fall 2023,Red,Red Line,SB,day_type_02,Saturday,time_period_10,SAT_OFF_PEAK,Alewife,place-alfcl,25245,0,9,2805,0,2805,845
